iter	Logloss
0	0.6875757794
1	0.6825444279
2	0.6777039936
3	0.6735449775
4	0.6694277202
5	0.6637989934
6	0.6597441402
7	0.6557434923
8	0.6517780758
9	0.6485558535
10	0.6451413975
11	0.6403676902
12	0.636889817
13	0.6346899379
14	0.632046936
15	0.6301280831
16	0.6267510082
17	0.624584137
18	0.6216123092
19	0.6182672339
20	0.6159163649
21	0.6140997572
22	0.6111190169
23	0.6082752689
24	0.6064597987
25	0.6047182382
26	0.6022121702
27	0.5993713453
28	0.5966368451
29	0.5956804322
30	0.5944764422
31	0.5936330021
32	0.5924202216
33	0.5915141558
34	0.5908234891
35	0.5891847194
36	0.5877997241
37	0.5863213614
38	0.5853412441
39	0.5841237461
40	0.5826374434
41	0.5814921533
42	0.5795685798
43	0.5780272902
44	0.5776315173
45	0.5757737722
46	0.5743992031
47	0.5733951798
48	0.5727947406
49	0.5718597665
50	0.5714603267
51	0.5703342197
52	0.5688407017
53	0.5686088
54	0.5677968107
55	0.5662623706
56	0.5648356863
57	0.563810896
58	0.5631128101
59	0.5620791015
60	0.5610761742
61	0.5599217195
62	0.5587265262
63	0.557279318
64	0.5560805873
65	0.5550570395
66	0.5543626849
67	0.5531224008
68	0.5517897931
69	0.5511624662
70	0.5504628151
71	0.5496123966
72	0.5491891198
73	0.5489768134
74	0.5488676703
75	0.5482285863
76	0.54739297
77	0.5462027717
78	0.5455993421
79	0.5454041992
80	0.5447968118
81	0.54387799
82	0.5430879354
83	0.5421796219
84	0.5413415753
85	0.5407569673
86	0.5399074806
87	0.5384975059
88	0.5376578912
89	0.5367945189
90	0.5360770633
91	0.5350102633
92	0.5342314778
93	0.5335401299
94	0.5331774586
95	0.5324496392
96	0.5314993091
97	0.5312214813
98	0.5297856852
99	0.5287586717
100	0.5281869491
101	0.5280511763
102	0.5271943618
103	0.5267838973
104	0.5260642465
105	0.5256766831
106	0.5251886241
107	0.5248320328
108	0.5244495518
109	0.5238787425
110	0.5229714224
111	0.5224108773
112	0.5224096543
113	0.5223304174
114	0.5212781418
115	0.5206465693
116	0.5201170127
117	0.5192526922
118	0.5184178327
119	0.5173912006
120	0.5167928354
121	0.5163462267
122	0.5157780401
123	0.5151173243
124	0.5141744189
125	0.5138236404
126	0.5131051526
127	0.5125013598
128	0.5119975915
129	0.5116463927
130	0.5108605973
131	0.5102822327
132	0.5099348669
133	0.5092319834
134	0.5088289707
135	0.5083201205
136	0.5072992446
137	0.5066283945
138	0.5065731034
139	0.5056571436
140	0.5051085122
141	0.5046660834
142	0.5037676829
143	0.50277925
144	0.5024447371
145	0.5022250975
146	0.5019235986
147	0.501097301
148	0.500636892
149	0.5005832607
150	0.5002511955
151	0.4995406932
152	0.4994865255
153	0.4990683547
154	0.4981449124
155	0.4981434913
156	0.4974803005
157	0.4964335566
158	0.4953901019
159	0.4948870121
160	0.4944465478
161	0.4939089739
162	0.4934225408
163	0.492854989
164	0.4923982372
165	0.4921578542
166	0.4917289305
167	0.4910141141
168	0.4903738487
169	0.4898169776
170	0.4890894349
171	0.4886199715
172	0.4879400945
173	0.4876709313
174	0.4871596126
175	0.4871494992
176	0.4866770091
177	0.4857242022
178	0.4856739208
179	0.4851196639
180	0.4844182301
181	0.4838249053
182	0.4833157837
183	0.4828484556
184	0.4823907072
185	0.4821027174
186	0.4816894069
187	0.4809608772
188	0.4803361872
189	0.4797765844
190	0.4793452645
191	0.4790630527
192	0.4787388069
193	0.4784491241
194	0.4776874269
195	0.4774791945
196	0.4768591517
197	0.4768462576
198	0.4764021719
199	0.4759792853
200	0.4749876403
201	0.4738792192
202	0.4736913691
203	0.4733437942
204	0.4724460811
205	0.4724248081
206	0.471924037
207	0.47090939
208	0.469843121
209	0.4692012033
210	0.468827521
211	0.4687971223
212	0.4684795936
213	0.4675810307
214	0.4670459527
215	0.4668090538
216	0.4662364459
217	0.4657407622
218	0.4650318929
219	0.4643882105
220	0.4633791714
221	0.4625497208
222	0.4621699568
223	0.4619538216
224	0.461370418
225	0.4611300297
226	0.4604331556
227	0.4597403962
228	0.4591351376
229	0.4582766583
230	0.4580737893
231	0.4578788264
232	0.4574568195
233	0.4571462914
234	0.4568999075
235	0.4562080805
236	0.4554165703
237	0.4547102955
238	0.4536567621
239	0.4534667883
240	0.4531421452
241	0.4523056139
242	0.4513506978
243	0.4506116153
244	0.4497905653
245	0.4493029254
246	0.4486750718
247	0.4482840526
248	0.4476758642
249	0.4474223788
250	0.4469373593
251	0.4457235223
252	0.4450375882
253	0.444449264
254	0.4438603388
255	0.4433457326
256	0.4427702614
257	0.4426171066
258	0.4421032172
259	0.4415954662
260	0.4415949157
261	0.4406747294
262	0.4399782878
263	0.4397372315
264	0.4394147974
265	0.4386133035
266	0.4383146038
267	0.4373916457
268	0.4369490617
269	0.4367755477
270	0.4364529887
271	0.4357655433
272	0.4352885431
273	0.4347786568
274	0.4339735564
275	0.4330988147
276	0.4326184025
277	0.4315912041
278	0.4307541925
279	0.4302109654
280	0.4299839873
281	0.4297925156
282	0.4289757071
283	0.4282690089
284	0.427883951
285	0.427387047
286	0.4270033565
287	0.4263995859
288	0.4255382806
289	0.4249391446
290	0.4245475394
291	0.4242511546
292	0.4238178331
293	0.4234001728
294	0.4228203456
295	0.4222992225
296	0.4217631202
297	0.421082474
298	0.4205363645
299	0.420044635
