iter	Passed	Remaining
0	16	5042
1	31	4619
2	46	4641
3	64	4762
4	81	4798
5	94	4624
6	117	4931
7	140	5124
8	160	5204
9	167	4868
10	184	4850
11	197	4748
12	217	4796
13	234	4791
14	249	4746
15	255	4532
16	269	4481
17	286	4488
18	296	4380
19	311	4362
20	328	4363
21	335	4233
22	350	4223
23	369	4253
24	386	4253
25	401	4229
26	418	4227
27	434	4218
28	450	4205
29	457	4120
30	463	4018
31	467	3914
32	482	3907
33	489	3828
34	493	3733
35	509	3739
36	525	3736
37	542	3741
38	550	3683
39	603	3923
40	633	3999
41	649	3990
42	671	4014
43	687	4001
44	692	3926
45	708	3912
46	724	3902
47	743	3902
48	762	3905
49	781	3905
50	786	3840
51	803	3829
52	819	3819
53	823	3751
54	838	3735
55	854	3723
56	872	3720
57	889	3711
58	906	3704
59	923	3695
60	939	3682
61	959	3681
62	976	3674
63	993	3663
64	1014	3669
65	1031	3657
66	1049	3649
67	1067	3642
68	1088	3644
69	1108	3642
70	1127	3636
71	1146	3629
72	1169	3637
73	1176	3593
74	1179	3538
75	1198	3532
76	1216	3523
77	1234	3514
78	1251	3501
79	1256	3455
80	1273	3443
81	1292	3434
82	1309	3424
83	1327	3412
84	1345	3402
85	1361	3388
86	1378	3375
87	1396	3364
88	1415	3354
89	1432	3343
90	1450	3331
91	1465	3312
92	1493	3324
93	1509	3308
94	1528	3298
95	1545	3284
96	1564	3274
97	1581	3259
98	1596	3241
99	1614	3228
100	1632	3217
101	1638	3180
102	1655	3166
103	1674	3156
104	1695	3149
105	1712	3133
106	1730	3120
107	1746	3104
108	1764	3092
109	1783	3080
110	1800	3065
111	1822	3059
112	1827	3024
113	1832	2989
114	1847	2972
115	1863	2955
116	1880	2941
117	1898	2927
118	1916	2915
119	1935	2903
120	1953	2889
121	1973	2879
122	1990	2865
123	2008	2850
124	2024	2834
125	2042	2820
126	2061	2807
127	2081	2796
128	2099	2782
129	2115	2766
130	2132	2751
131	2151	2737
132	2169	2724
133	2195	2719
134	2222	2716
135	2243	2705
136	2258	2686
137	2279	2675
138	2284	2645
139	2299	2627
140	2316	2612
141	2341	2605
142	2359	2590
143	2376	2575
144	2393	2558
145	2417	2549
146	2435	2535
147	2451	2518
148	2471	2504
149	2479	2479
150	2496	2462
151	2510	2444
152	2515	2417
153	2533	2402
154	2554	2389
155	2560	2363
156	2578	2348
157	2598	2335
158	2616	2320
159	2637	2307
160	2655	2292
161	2673	2277
162	2693	2263
163	2714	2250
164	2729	2233
165	2745	2215
166	2762	2200
167	2778	2183
168	2795	2166
169	2811	2150
170	2829	2134
171	2850	2121
172	2867	2105
173	2884	2089
174	2900	2071
175	2904	2046
176	2918	2028
177	2938	2013
178	2942	1989
179	2959	1972
180	2975	1956
181	2994	1941
182	3012	1926
183	3031	1911
184	3049	1895
185	3067	1879
186	3085	1864
187	3110	1853
188	3127	1836
189	3144	1820
190	3158	1802
191	3176	1786
192	3195	1771
193	3212	1755
194	3235	1741
195	3251	1725
196	3267	1708
197	3276	1688
198	3294	1671
199	3310	1655
200	3325	1637
201	3341	1620
202	3348	1600
203	3364	1583
204	3380	1566
205	3385	1544
206	3400	1527
207	3417	1511
208	3433	1494
209	3450	1478
210	3468	1462
211	3475	1442
212	3491	1425
213	3508	1409
214	3525	1393
215	3544	1378
216	3563	1362
217	3587	1349
218	3605	1333
219	3629	1319
220	3647	1303
221	3664	1287
222	3680	1270
223	3698	1254
224	3715	1238
225	3737	1223
226	3753	1207
227	3770	1190
228	3787	1174
229	3805	1158
230	3821	1141
231	3836	1124
232	3856	1108
233	3874	1092
234	3891	1076
235	3912	1061
236	3929	1044
237	3946	1027
238	3964	1011
239	3980	995
240	3998	978
241	4014	962
242	4031	945
243	4048	929
244	4066	912
245	4085	896
246	4099	879
247	4116	863
248	4138	847
249	4161	832
250	4177	815
251	4191	798
252	4208	781
253	4225	765
254	4241	748
255	4257	731
256	4276	715
257	4294	699
258	4314	682
259	4330	666
260	4335	647
261	4349	630
262	4366	614
263	4383	597
264	4401	581
265	4418	564
266	4436	548
267	4453	531
268	4471	515
269	4488	498
270	4503	481
271	4518	465
272	4532	448
273	4549	431
274	4567	415
275	4584	398
276	4601	382
277	4618	365
278	4634	348
279	4649	332
280	4666	315
281	4686	299
282	4703	282
283	4721	265
284	4738	249
285	4757	232
286	4773	216
287	4791	199
288	4808	183
289	4824	166
290	4843	149
291	4858	133
292	4875	116
293	4892	99
294	4908	83
295	4923	66
296	4940	49
297	4956	33
298	4974	16
299	4996	0
