feature,importance,group
risk_high_initial,20.38047454226928,Patient Clinical
location,19.960581606632317,Therapist/Org
total_score,10.638258446367901,Patient Clinical
how_many_times_have_you_had_these_thoughts,8.653585526098292,Patient Clinical
therapist_name,8.420809088359094,Therapist/Org
frequency_month,7.764231028059624,Patient Clinical
deterrents_month,3.644682751294457,Patient Clinical
program,2.4479716896875794,Therapist/Org
pn_year,2.082752717535218,Therapist/Org
duration_month,1.5321867858566294,Patient Clinical
prop_mi,1.2179614177474396,Propensity Score
prop_stages_of_change,1.1535664386009485,Propensity Score
are_there_things,1.1411931533696815,Patient Clinical
pn_time_block,1.103095236081764,Therapist/Org
dx_group,1.0204364757094042,Therapist/Org
session_mode,0.7870637671710796,Therapist/Org
internal_protective_factors_able_to_access_care_willing_to_reach_out,0.7585269281051563,Patient Clinical
prop_mindfulness,0.6546717361604089,Propensity Score
prop_dbt,0.6140519362301234,Propensity Score
internal_protective_factors_problem_solving_skills,0.6083195015872946,Patient Clinical
prop_cbt,0.5052756149332662,Propensity Score
internal_protective_factors_fear_of_death_or_the_actual_act_of_killing_self,0.45220399293586605,Patient Clinical
cbt_x_total_score,0.41391341141523236,Treatment Interactions
external_protective_factors_engaged_in_work_school_or_sports,0.387682932312623,Patient Clinical
external_protective_factors_supportive_social_network_of_family_or_friends,0.3848436684173715,Patient Clinical
therapy_duration_category,0.36774296638902815,Therapist/Org
precipitants_stressors_perceived_burden_on_others,0.331704066819593,Patient Clinical
mindfulness_x_total_score,0.30199259626078023,Treatment Interactions
prop_family_systems,0.2794822786128158,Propensity Score
pn_month,0.2630309895248173,Therapist/Org
external_protective_factors_high_academic_achievement,0.2594738727521512,Patient Clinical
family_systems_x_total_score,0.25468329054429917,Treatment Interactions
internal_protective_factors_identifies_reasons_for_living,0.25401434241000403,Patient Clinical
what_sort_of_reasons,0.25224329741191304,Patient Clinical
delivery_method,0.22561028370505182,Therapist/Org
when_you_have_the_thoughts_how_long_do_they_last,0.22082750804689805,Patient Clinical
n_therapies,0.18704274788951558,Therapy Combinations
precipitants_stressors_pending_incarceration_or_homelessness,0.041130158457866925,Patient Clinical
dbt_x_total_score,0.03268120823717247,Treatment Interactions
precipitants_stressors_substance_intoxication_or_withdrawal,0.0,Patient Clinical
dbt,0.0,Therapy Received
act_x_adolescent,0.0,Treatment Interactions
precipitants_stressors_inadequate_social_supports,0.0,Patient Clinical
